event_id,event_type,user_login,event_content,created_at
44377555,setting_milestone,david-he91,将里程碑设置为计算算子众智730-哈工大威海-张盛平,2021-05-27T20:07:10+08:00
44377554,setting_assignee,david-he91,将负责人设置为liuxiao93,2021-05-27T20:07:10+08:00
44377552,setting_deadline,david-he91,将计划截止日期设置为2021-07-31,2021-05-27T20:07:10+08:00
44377551,create,david-he91,创建了Requirement,2021-05-27T20:07:10+08:00
58477139,change_issue_state,mu_rong_meng,changed issue state from VALIDATION to DONE,2021-10-27T16:01:30+08:00
57094787,change_milestone,xiangjiawei007,changed milestone from B-SolutionTest to B-ComponentTest,2021-10-12T10:55:10+08:00
55228388,change_issue_state,zhaosida_hw,changed issue state from WIP to VALIDATION,2021-09-17T11:54:46+08:00
55228384,change_assignee,zhaosida_hw,changed assignee from zhaosida to mu_rong_meng,2021-09-17T11:54:44+08:00
55228383,assign_collaborator,zhaosida_hw,assigned collaborator zhaosida,2021-09-17T11:54:44+08:00
55227978,change_milestone,zhaosida_hw,changed milestone from B-SIG-Executor-ASCEND to B-SolutionTest,2021-09-17T11:52:21+08:00
55083783,change_issue_state,zhaosida_hw,changed issue state from TODO to WIP,2021-09-16T10:34:02+08:00
54929577,link_pull_request,zhaosida_hw,related pull requestMindSpore/mindspore Pull Request !23474,2021-09-14T20:06:31+08:00
54928950,setting_milestone,mu_rong_meng,set milestone to B-SIG-Executor-ASCEND,2021-09-14T20:00:11+08:00
54928923,change_plan_started_at,mu_rong_meng,changed start time from 2021-09-19 to 2021-09-14,2021-09-14T19:59:51+08:00
54928910,setting_deadline,mu_rong_meng,set deadline to 2021-09-19,2021-09-14T19:59:47+08:00
54928909,setting_plan_started_at,mu_rong_meng,set start time to 2021-09-19,2021-09-14T19:59:47+08:00
54928902,add_label,I-am-a-robot,"added       
        &nbsp;
        good-first-issue
      
 label",2021-09-14T19:59:38+08:00
54928901,add_label,I-am-a-robot,"added       
        &nbsp;
        sig/data
      
 label",2021-09-14T19:59:38+08:00
54928900,add_label,I-am-a-robot,"added       
        &nbsp;
        comp/data
      
 label",2021-09-14T19:59:38+08:00
54928898,add_label,mu_rong_meng,"added       
        &nbsp;
        device/gpu
      
 label",2021-09-14T19:59:36+08:00
54928897,add_label,mu_rong_meng,"added       
        &nbsp;
        kind/bug
      
 label",2021-09-14T19:59:36+08:00
