user_login,event_create,event_comment,event_assign_collaborator,event_setting_assignee,event_closed_issue,Score
hezixian7,18,26,2,7,15,12.788547831042049
hfarahat,3,0,0,0,3,1.3417146922865038
hiehiecode,1,2,0,0,1,0.7126135952915434
hjxcoder,1,0,0,0,0,0.2178757022030848
hko,3,16,0,0,0,2.7766300228442584
hmy0123,0,0,0,0,0,0.0
hnldlydtttlxjc,1,0,0,0,0,0.2178757022030848
horace-hht,1,2,0,0,0,0.4832510667324603
huang_gang_hong,1,0,0,0,0,0.2178757022030848
huangbingjian,2,6,0,0,1,1.4612400265533796
huangbo77,2,4,7,2,0,2.7707013921048262
huangshuai000,0,0,0,0,0,0.0
huangxinjing,0,8,1,0,1,1.483674203615309
huaweib,0,4,4,0,0,1.3019915968136453
huchunmei,0,2,4,0,0,1.0366162322842696
huziboyyds,0,0,0,0,0,0.0
hwhewei,1,6,1,1,0,1.4340758827643558
hwjiaorui,1,0,0,0,0,0.2178757022030848
hwyyj,1,6,0,1,0,1.2412656658256322
hyperxiangye,1,0,0,0,0,0.2178757022030848
iambowen1984,0,4,0,0,0,0.5307507290587511
iiiimp,2,18,0,0,2,3.282854742288715
iotwins,2,4,0,0,0,0.9665021334649206
irmo,0,22,2,0,0,3.3047494437005773
isaac17555,0,0,0,0,0,0.0
ivss,0,6,11,0,0,2.9170384799140847
jack_leekiller,2,4,0,1,3,1.881853589176591
jakcmanftr,0,0,0,0,0,0.0
jefferyeven,1,0,0,0,0,0.2178757022030848
jerry0710,0,0,0,0,0,0.0
jessonguo,1,2,0,0,0,0.4832510667324603
jhan_jhan,0,4,0,0,0,0.5307507290587511
jiabei0209,1,0,0,0,0,0.2178757022030848
jiang_botian,1,0,0,0,0,0.2178757022030848
jianghui58,0,4,2,0,0,0.916371162936198
jiangshen95,1,12,0,0,0,1.8101278893793384
jiangtaoo2333,1,12,0,0,0,1.8101278893793384
jiangzg001,0,24,8,0,0,4.7269861098622945
jiaoy1224,1,4,0,0,1,0.9779889598209189
jiaweizhuang,1,14,0,0,0,2.075503253908714
jihongtao,1,0,0,1,0,0.44513957223750555
jjfeing,0,52,19,1,0,10.790417469633947
joinville,2,10,0,0,0,1.7626282270530478
jojobugfree,0,20,6,0,0,3.810614946926095
jonyguo,1,82,17,2,2,15.289292133052815
joylvliang,0,6,1,0,0,0.98893631052685
jpc_chenjianping,1,0,0,1,0,0.44513957223750555
jxlang910,0,4,0,0,0,0.5307507290587511
kang-ning,1,0,0,0,0,0.2178757022030848
kangkangyds,0,2,0,0,0,0.26537536452937555
ketejun,1,0,0,0,0,0.2178757022030848
kikian,1,2,0,0,0,0.4832510667324603
kimxiaogen,2,4,0,0,0,0.9665021334649206
kingxian,1,32,8,1,0,6.233627140217306
kinokoteikoku,0,2,0,0,0,0.26537536452937555
kisnwang,4,2,3,3,2,2.855825491379313
laiyongqiang,2,12,6,2,1,3.868755161842687
lanzhineng,0,18,2,0,0,2.773998714641827
larrygld,0,0,0,0,0,0.0
leidong999,1,0,1,1,0,0.637949789176229
leiwei2,0,2,0,0,0,0.26537536452937555
leonwanghui,2,2,1,1,1,1.3505633844677727
li-qiyao,0,0,0,0,0,0.0
li-ruoxuan5235,0,0,0,0,0,0.0
li_qi_liang,0,2,2,1,0,0.8782596684412433
liang_xiubo,0,0,0,0,0,0.0
liangchenghui,1,184,33,3,6,33.053113179341324
liangjiaxi2019,1,0,0,0,0,0.2178757022030848
liangxhao,0,18,18,0,4,6.776412299897742
liangyongxiong1024,5,14,3,4,5,5.581304836470325
liangzelang,1,6,6,0,1,2.4002256259826353
liangzhibo,0,36,3,0,2,5.813912269463099
lianliguang,1,28,5,1,0,5.124445760342382
lichen666,0,2,4,0,0,1.0366162322842696
lihuinan_12,2,0,0,0,0,0.4357514044061696
lijiaqi0612,0,2,0,0,0,0.26537536452937555
limingqi107,0,18,4,0,0,3.1596191485192735
ling_qiao_min,1,8,2,0,1,1.8943601227571176
lingtianxia,0,0,9,0,5,2.8821045952439275
lingyunli63,1,0,0,0,0,0.2178757022030848
linqingke,0,28,7,0,5,6.211739264777742
liscar,1,0,0,0,0,0.2178757022030848
liu-xuu,3,0,0,1,1,1.1102535052027582
liu-yongqi-63,1,0,0,0,0,0.2178757022030848
liu-zeyu,5,6,0,0,1,2.114867133162634
liu_luobin,2,4,6,0,0,2.123363435097262
liu_xiao_93,1,4,9,2,0,2.9384461237791886
liubuyu,1,10,2,0,1,2.159735487286493
liurishen,1,6,0,0,0,1.0140017957912113
liushuo_ustc,1,0,0,0,0,0.2178757022030848
liutongtong9,0,6,4,0,1,1.7967294899021042
liuyang_655,2,54,8,1,0,9.370631852243529
lixintao2,3,0,0,3,0,1.3354187167125167
lixve,0,0,0,0,0,0.0
liyanjun10,2,36,6,2,2,7.2826220647542845
liyong126,0,24,7,1,0,4.761439762957992
lizhenglong1992,0,2,0,0,0,0.26537536452937555
lizxxy,0,0,0,0,0,0.0
ljl0711,0,0,1,0,0,0.1928102169387235
llc0527,2,2,0,0,0,0.7011267689355452
llyy999,0,0,1,0,0,0.1928102169387235
looop5,2,12,1,2,2,3.134066605708153
lordway,1,6,3,1,1,2.049058845200886
lostsword,1,0,0,0,0,0.2178757022030848
lottiewang,1,0,0,0,0,0.2178757022030848
louie5,0,6,1,0,0,0.98893631052685
loyolh,3,8,0,0,0,1.715128564726757
lufei9026,0,0,0,0,0,0.0
luopenghui,27,46,1,19,22,21.543076719551472
luopengting,0,0,1,0,0,0.1928102169387235
luoyang42,8,40,6,2,5,9.8087145927088
luxuff,1,0,0,0,0,0.2178757022030848
luyihua,0,0,0,0,0,0.0
lv_xinyu,0,0,0,0,0,0.0
lvchangquan,0,0,1,0,0,0.1928102169387235
lvmingfu,1,10,4,0,2,2.7747184497230224
lvsi-cj,2,2,0,0,0,0.7011267689355452
lvyufeng,14,72,0,0,3,13.291860539577977
lvyufenghw,0,12,2,0,0,1.9778726210537008
lvzhangcheng,0,0,0,0,0,0.0
lyl116,0,0,0,0,0,0.0
lyvette,0,0,1,0,0,0.1928102169387235
lzkcode,1,14,2,0,0,2.4611236877861606
mahequn123,4,8,8,4,2,4.843266539695481
majorzhang,0,18,0,0,0,2.38837828076438
maning202007,0,6,1,0,0,0.98893631052685
marcomarini,2,2,0,0,0,0.7011267689355452
markuskunej,0,0,0,0,0,0.0
marui36,0,0,0,0,0,0.0
mengyuanli,3,14,0,1,2,3.1972435854674695
mindspore_boy,0,2,0,0,1,0.4947378930884586
mindwang,0,4,2,1,0,1.1436350329706189
ming__blue,0,4,0,0,1,0.7601132576178341
missyuanzi,0,2,0,0,1,0.4947378930884586
miumiuC,0,0,0,0,0,0.0
