user_login,event_create,event_comment,event_assign_collaborator,event_setting_assignee,event_closed_issue
liu-yongqi-63,1,0,0,0,0
liu-zeyu,5,6,0,0,1
liu_luobin,2,4,6,0,0
liu_xiao_93,1,4,9,2,0
liubuyu,1,10,2,0,1
liurishen,1,6,0,0,0
liushuo_ustc,1,0,0,0,0
liutongtong9,0,6,4,0,1
liuyang_655,2,54,8,1,0
lixintao2,3,0,0,3,0
lixve,0,0,0,0,0
liyanjun10,2,36,6,2,2
liyong126,0,24,7,1,0
lizhenglong1992,0,2,0,0,0
lizxxy,0,0,0,0,0
ljl0711,0,0,1,0,0
llc0527,2,2,0,0,0
llyy999,0,0,1,0,0
looop5,2,12,1,2,2
lordway,1,6,3,1,1
lostsword,1,0,0,0,0
lottiewang,1,0,0,0,0
louie5,0,6,1,0,0
loyolh,3,8,0,0,0
lufei9026,0,0,0,0,0
luopenghui,27,46,1,19,22
luopengting,0,0,1,0,0
luoyang42,8,40,6,2,5
luxuff,1,0,0,0,0
luyihua,0,0,0,0,0
lv_xinyu,0,0,0,0,0
lvchangquan,0,0,1,0,0
lvmingfu,1,10,4,0,2
lvsi-cj,2,2,0,0,0
lvyufeng,14,72,0,0,3
lvyufenghw,0,12,2,0,0
lvzhangcheng,0,0,0,0,0
lyl116,0,0,0,0,0
lyvette,0,0,1,0,0
lzkcode,1,14,2,0,0
mahequn123,4,8,8,4,2
majorzhang,0,18,0,0,0
maning202007,0,6,1,0,0
marcomarini,2,2,0,0,0
markuskunej,0,0,0,0,0
marui36,0,0,0,0,0
mengyuanli,3,14,0,1,2
mindspore_boy,0,2,0,0,1
mindwang,0,4,2,1,0
ming__blue,0,4,0,0,1
missyuanzi,0,2,0,0,1
miumiuC,0,0,0,0,0
modelzoo-ci-bot,0,0,3,0,0
moran3,1,0,0,0,1
mr-melos,0,6,0,0,0
ms_yan,31,372,73,26,17
mu_rong_meng,24,10,4,23,18
mudongrui,3,4,2,2,1
nicholas_yhr,1,14,1,1,0
nizzan,0,0,0,0,0
noth1n9,2,0,0,0,0
oacjiewen,0,18,67,1,0
oida,0,0,0,0,0
onexiaophai,0,0,0,0,0
ouwenchang,3,14,2,0,2
ouyang_xx,1,0,0,0,0
pandoublefeng,0,4,0,0,0
peacepeace,1,14,0,0,0
peixu_ren,0,0,1,0,0
piyun,0,2,0,0,0
pkuliuliu,0,2,0,0,0
probiotics_53,8,12,3,0,8
puxiaonian,1,0,0,0,0
qiangqiang55,0,0,0,0,0
qili93,2,0,0,0,0
qingfengli,0,0,2,0,0
qingguoqincheng2021,1,0,0,0,0
qq1280190261,0,0,0,0,0
qujianwei,1,6,0,1,0
rainfor,0,4,0,0,1
rainyhorse,2,0,4,3,0
randy-wangx,0,0,0,0,0
sabrinasun_59ee,0,0,0,0,0
sanjaychan,0,2,0,0,0
sdau20171754,2,22,0,0,0
sduzjp,5,14,0,0,0
shen_jingxing,0,0,0,0,0
shenming23,2,12,0,0,0
shenwei41,2,14,10,0,1
shgao,0,2,0,0,0
shibeiji,0,4,0,0,0
shiqiuling,1,2,0,0,0
shirleyzhang086,7,20,8,5,3
shumingMiao,1,0,0,0,0
si_chasing,0,4,3,0,0
simson_wu,1,36,4,3,0
sishuikang,2,6,4,0,2
stsuteng,6,0,0,6,0
stylehang,0,0,25,0,0
sunhz0117,0,2,0,0,0
sunsuodong,0,4,1,0,0
sxqxdjl,11,4,3,11,1
tacyi139,0,10,5,1,0
tang-yibo,2,28,0,0,0
tao-qing1,3,4,1,3,2
taox_p,0,2,0,0,3
three_four,1,0,0,1,0
thyush,0,2,0,0,0
tiancixiao,3,8,9,2,4
tianqinjing,3,6,3,3,3
